ticket_id,ticket_text,priority
1004298,"dear  ph_user as requested we have listed application related vulnerabilities , lets upgrade tls version in test environment and close all ph_technical . vulnerabilities ip port tls ph_path server is enabling the beast attack ph_ip_address ph_technical,ph_technical ,ph_technical tls server supports tls version 1.0 ph_ip_address ph_technical ph_technical ph_technical tls ph_path server is enabling the beast attack ph_ip_address ph_technical ph_technical tls ph_path server supports ph_technical cipher algorithms (ph_technical) ph_ip_address ph_technical below are web ph_technical please advice how to disable http for  below servers : vulnerabilities ip port http trace method enabled ph_ip_address ph_technical ph_technical ph_technical dear  ph_user our iso team preform a scanning on both uat servers ph_ip_address , ph_ip_address to test the fixed ph_technical but unfortunately still we can see same vulnerabilities are open . please refer to attached excel sheet where you can find list of tls ph_path related ph_technical and http trace method enabled ph_technical are still reported . dear  ph_user attached . greetings the attached mail contains the list of recommended ciphers for ph_technical . ph_technical dear  ph_user please provide production file fixes so that will move same changes in production . dear  ph_user good news after fixing multiple ph_technical in uat environment the updated report the number of ph_technical reduced from ph_technical till ph_technical . lets plan for production movement , please prepare files for tls and cipher related issues . dear  ph_user please share release note for all changes which done in uat to fix tls and cipher issues so that we plan for production movement . dear  ph_user all required files uploaded ( ph_technical folders and ph_technical for all ph_name system from production ) . dear  ph_user the ph_technical added for all ph_name due to huge size of files couldn't added here i added the same in uat server ph_ip_address under ph_technical ph_path files ” dear  ph_user thanks a lot for your quick response , lets make it a practice for production deployment we need proper release note . as you are aware in our bank infra team will deploy the changes not the application owner . release note should be clear and provide all details in steps . dear  ph_user we prepared below release note , please go through it and confirm . also lets us know if we have to deploy in sequence or its independent . server ph_ip_address  ph_user  conventional: ph_technical changes stop ph_technical service ph_technical ph_name ph_technical ph_technical ph_technical take backup of the jar file ( ph_technical ) available in ph_technical ph_user  ph_path “ move the new jar file to the above directory start ph_technical ph_technical ph_path .xml changes stop ph_technical take backup of ph_technical file available in ph_technical ph_user  ph_path ” move the new ph_technical ph_technical to the above directory and rename it to ph_technical take backup of ph_technical file available in “ ph_user  ph_path ph_technical move the new ph_technical to the above directory start ph_technical ph_user  ph_name ph_technical changes stop ph_technical service ph_technical ph_name ph_technical ph_technical ph_technical take backup of the jar file ( ph_technical ) available in ph_technical ph_user  ph_path “ move the new jar file to the above directory start ph_technical ph_technical ph_path .xml changes stop ph_technical take backup of ph_technical file available in ph_technical ph_user  ph_path ” move the new ph_technical ph_technical to the above directory and rename it to ph_technical take backup of ph_technical file available in “ ph_user  ph_path ph_technical move the new ph_technical to the above directory start ph_technical ph_technical ph_technical changes stop ph_technical service ph_technical ph_name ph_technical ph_technical ph_technical take backup of the jar file ( ph_technical ) available in ph_technical ph_path “ move the new jar file to the above directory start ph_technical ph_technical ph_path .xml changes stop ph_technical take backup of ph_technical file available in ph_technical ph_technical ph_path ph_technical move the new ph_technical ph_technical to the above directory and rename it to ph_technical take backup of ph_technical file available in ph_technical ph_path ph_technical move the new ph_technical to the above directory start ph_technical ph_technical ph_technical changes stop ph_technical service ph_technical ph_name ph_technical ph_technical ph_technical take backup of the jar file ( ph_technical ) available in ph_technical ph_path “ move the new jar file to the above directory start ph_technical ph_technical ph_path .xml changes stop ph_technical take backup of ph_technical file available in ph_technical ph_technical ph_path ph_technical move the new ph_technical ph_technical to the above directory and rename it to ph_technical take backup of ph_technical file available in ph_technical ph_technical ph_path ph_technical move the new ph_technical to the above directory start ph_technical server ph_ip_address  ph_user  conventional: ph_technical change stop ph_technical service ph_technical ph_name ph_technical ph_technical ph_technical take backup of the jar file ( ph_technical ) available in ph_technical ph_user  ph_path “ move the new jar file to the above directory start ph_technical ph_technical ph_path .xml changes stop ph_technical take backup of ph_technical file available in ph_technical ph_user  ph_path ” move the new ph_technical ph_technical to the above directory and rename it to ph_technical take backup of ph_technical file available in ph_technical ph_user  ph_path move the new ph_technical to the above directory start ph_technical ph_user  ph_name ph_technical changes stop ph_technical service ph_technical ph_name ph_technical ph_technical ph_technical take backup of the jar file ( ph_technical ) available in ph_technical ph_path “ move the new jar file to the above directory start ph_technical ph_technical ph_path .xml changes stop ph_technical take backup of ph_technical file available in ph_technical ph_path move the new ph_technical ph_technical to the above directory and rename it to ph_technical take backup of ph_technical file available in ph_technical ph_path move the new ph_technical to the above directory start ph_technical onus: ph_technical changes stop ph_technical service ph_technical ph_name ph_technical ph_technical ph_technical take backup of the jar file ( ph_technical ) available in ph_technical ph_path ” move the new jar file to the above directory start ph_technical ph_technical ph_path .xml changes stop ph_technical take backup of ph_technical file available in ph_technical ph_path move the new ph_technical ph_technical to the above directory and rename it to ph_technical take backup of ph_technical file available in ph_technical ph_path move the new ph_technical to the above directory start ph_technical dear  ph_user please take the required action as per the recommendation from our iso team to close this ph_technical reported in  ph_user  and  ph_user  . “for the those debug directories and sub directories at least can disable by set the response as ph_technical or ph_technical for all the web users ” please refer to mail for more details dear  ph_user we have some ph_technical related to our os we just need your confirmation there is no application dependency to fix open ph_technical of java . example : red hat: ph_technical moderate: ph_technical security and bug fix update (multiple advisories) i will share the list so that you get more details dear  ph_user thanks lot for your continues support we managed to close big number of vulnerabilities in all ph_name system but still there are list of ph_technical reported as per the latest report . we also successfully upgraded our certificates from self-signed to ca certificate for all ph_name application . i will share the attachment for more details where the iso recommended solution is added . vulnerabilities ip port status tls ph_path server supports ph_technical cipher algorithms (ph_technical) ph_ip_address ph_technical open tls ph_path server supports the use of static key ciphers ph_ip_address ph_technical open ph_technical  ph_user  smaller than ph_technical bits all ph_name app open tls ph_path server is using commonly used prime numbers all ph_name app open below are web ph_technical let us know how to disable the http and will do the same in uat then production . vulnerabilities ip port status http trace method enabled ph_ip_address ph_technical ph_technical ph_technical open dear  ph_user onus using ph_technical port . dear  ph_user please find the requested ph_technical . dear  ph_user iso confirmed the 2 vulnerability are fixed in ph_ip_address server on port ph_technical you can proceed with other application on same fix . ph_technical  ph_user  smaller than ph_technical bits tls ph_path server is using commonly used prime numbers for the “ http trace method enabled ” vulnerable, false positive for both servers ( ph_ip_address , ph_ip_address ) they will take exception . in this case no action required . and what about onus application below ph_technical we already provided the ph_technical . we will plan next week production movement for all fixed in one ph_technical , please make sure to provide the fix for all reported ph_technical . vulnerabilities ip port status tls ph_path server supports ph_technical cipher algorithms (ph_technical) ph_ip_address ph_technical open tls ph_path server supports the use of static key ciphers ph_ip_address ph_technical open dear  ph_user there are list if ph_technical reported to ph_technical related ports , please provide the fix . application.properties atached . ph_technical tls ph_path server is enabling the beast attack ph_ip_address ph_technical ph_technical breached open responded ph_technical tls ph_path server is enabling the beast attack ph_ip_address ph_technical ph_technical breached open responded ph_technical tls server supports tls version 1.0 ph_ip_address ph_technical ph_technical breached open responded ph_technical tls server supports tls version 1.0 ph_ip_address ph_technical ph_technical breached open responded ph_technical tls server supports tls version 1.0 ph_ip_address ph_technical ph_technical breached open responded ph_technical tls server supports tls version 1.0 ph_ip_address ph_technical ph_technical breached open responded ph_technical tls ph_path server is enabling the beast attack ph_ip_address ph_technical ph_technical breached open responded ph_technical tls ph_path server is enabling the beast attack ph_ip_address ph_technical ph_technical breached open responded dear  ph_user added . dear ph_name team we need your urgent support to fix list of vulnerabilities reported in ph_name application . please provide resolution date before end of ‘january ph_technical .",High
1004357,greetings this ticket is created on the behalf of  ph_user  bank to track our activities on the issue: query from ph_name bank the check they scan is clear but when we receive is not clear meaning clarity of the image is not quite clear.,Medium
1004361,greetings gentle reminder greetings we are encountering a force logout issue while we are trying to approve writers or ph_item books in the ph_technical app. attached is the video for the same.,Medium
1004362,"greetings in the ph_item  ph_user  when the user search for a ph_item, the result comes in the second page not the first page. regards,",Medium
1004364,greetings please find the attached files as requested,Medium
1004366,as per an email from the bank they informed us that test site is not working,Medium
1004368,i will refer to you when the case exist. dear  ph_user i sent it before. see the attachment. confirmed dears i have inward ph_item hang on ph_technical status inward workflow routing service. your help,High
1004427,"ph_sql ph_technical ph_sql ph_technical ph_sql ph_technical ph_sql ph_technical ph_sql ph_technical ph_technical rows selected. done, as per attached screenshot dear  ph_user yes, the connection is open now i ran the statements and inserted the records. file copied to server file copied to server ph_name  ph_name claiming that they tried to present a ph_item to us on ph_technical ph_path and then on ph_technical ph_path through  ph_user  from their ph_name branch and the ph_item did not go through due to the reason ‘unreachable destination’ due to the reason that ph_name bank did not update the ph_name branch in  ph_user  system’. pls find appended screen shot from  ph_user  showing that ph_name branch does not appear as ph_technical branch under ph_technical bank: ph_name. based on the reason provided by ph_name  ph_name, customer is claiming interest for the delay in presentment of ph_item. would appreciate if you can refer the case to the vendor and obtain the root cause of why ph_name  ph_name was not able to present the ph_item and also obtain details with regards to their claim that we did not update the new branch code in  ph_user  system. more details in the attached email.",High
1004437,"on behalf of the customer, this ticket is opened for testing and deploy ph_technical ph_name on the test server",Medium
1004440,"dears, additionally, please look into the matter that archive access enable the user to modify the name after selecting the certificate. this should be disabled in order to be in compliance with ph_name policy. screen shot attached showing the name can be changed after choosing the certificate and filling the user name when logging in. dears kind reminder. thanks ph_user appreciate your support to ph_name. thanks greetings kindly ph_name include the roll back procedure in order to take approvals. thanks ph_technical - ticket (ph_technical) greetings i prefer to run on test first and then on prod to avoid any issues. dears ensure to avoid any issue on prod … greetings updated the below corrected script in the case for your kind support. thanks greetings as stated in the email we do not have the access to clear the cache. we need to check that before deletion. please advise if you can clear the cache. dear  ph_user tried to flush the cache and relogged in but with the same result. appreciate your input. thanks greetings we need to know what the selection is not being removed from the drop down. we need to avoid ph_technical deletion. please investigate why we cannot remove the option without ph_technical deletion. thanks greetings can you please update the case. greetings kind reminder. thanks greetings ph_user acquired approval to delete “special” selection drop down list from ph_technical side. let us arrange to perform the task by next week please. thanks ph_technical - archive shows regular, ph_technical and ph_technicalspecial ph_technical. special is not an urgency greetings you require access to apply the script or to explore and create one? test and done. thanks yes please with many thanks archive doesnt show ph_technical it shows ph_technicalspecial ph_technical instead for total ph_item count. attached email communication and screen",Medium
