ticket_id,ticket_text,priority,ticket_text_clean
2000954,"please assist, The SFTP service is intermittently unavailable to all users. Repeated attempts to process transactions fail with a database error, creating a serious operational impact. Regards.",Highest,please assist the sftp service is intermittently unavailable to all users repeated attempts to process transactions fail with a database error creating a serious operational impact regards
2000808,"please assist, The internet banking portal is intermittently unavailable to the operations team. Repeated attempts to process branches fail with a database error, creating a serious operational impact. Regards.",Highest,please assist the internet banking portal is intermittently unavailable to the operations team repeated attempts to process branches fail with a database error creating a serious operational impact regards
2001380,"please check, An integration issue is causing selected transactions to fail between the AML screening service and another service. The problem is repeatable for affected requests.",High,please check an integration issue is causing selected transactions to fail between the aml screening service and another service the problem is repeatable for affected requests
2001032,"greetings, A report in the SFTP service is failing to generate for a small group of users. Other functions remain available, but the affected report is required for daily work. Regards.",High,greetings a report in the sftp service is failing to generate for a small group of users other functions remain available but the affected report is required for daily work regards
2000409,"The branch application became inaccessible after a service failure. Every attempted business roles operation fails for all branches, leaving the business process stopped. Attached are the relevant details.",Blocker,the branch application became inaccessible after a service failure every attempted business roles operation fails for all branches leaving the business process stopped attached are the relevant details
2001220,"kindly investigate, The archive module is intermittently failing when processing payments. The issue affects the finance team, although some requests continue to work. Kindly check and update.",High,kindly investigate the archive module is intermittently failing when processing payments the issue affects the finance team although some requests continue to work kindly check and update
2000148,we need your support: All branches are reporting failures when using the inward workflow service. No reports can be completed and the business is unable to continue normal processing. Please advise.,Blocker,we need your support all branches are reporting failures when using the inward workflow service no reports can be completed and the business is unable to continue normal processing please advise
2002119,"please check, Please update the display text for clearing messages in the authentication service. There is no functional impact.",Low,please check please update the display text for clearing messages in the authentication service there is no functional impact
2000203,"greetings, The production card management system has stopped responding. one branch cannot complete customer-facing transactions and the business process is fully blocked. Regards.",Blocker,greetings the production card management system has stopped responding one branch cannot complete customer facing transactions and the business process is fully blocked regards
2000022,All branches are reporting failures when using the clearing module. No reports can be completed and the business is unable to continue normal processing. Please advise.,Blocker,all branches are reporting failures when using the clearing module no reports can be completed and the business is unable to continue normal processing please advise
2000271,"please assist, The AML screening service is down in production. one branch are unable to log in and critical operations cannot continue. Please advise.",Blocker,please assist the aml screening service is down in production one branch are unable to log in and critical operations cannot continue please advise
2001767,we need your support: A minor workflow issue is affecting one step of the outward workflow service. Users can complete the process by following an alternative step. Thanks.,Medium,we need your support a minor workflow issue is affecting one step of the outward workflow service users can complete the process by following an alternative step thanks
2001277,"kindly investigate, The reporting portal is intermittently failing when processing accounts. The issue affects a small group of users, although some requests continue to work. Kindly check and update.",High,kindly investigate the reporting portal is intermittently failing when processing accounts the issue affects a small group of users although some requests continue to work kindly check and update
2001398,"please assist, A report in the card management system is failing to generate for one branch. Other functions remain available, but the affected report is required for daily work.",High,please assist a report in the card management system is failing to generate for one branch other functions remain available but the affected report is required for daily work
2001828,"kindly investigate, A minor workflow issue is affecting one step of the teller application. Users can complete the process by following an alternative step.",Medium,kindly investigate a minor workflow issue is affecting one step of the teller application users can complete the process by following an alternative step
2001558,"please check, The SFTP service displays an incorrect result when a user searches for statements. The expected record appears later in the results. Regards.",Medium,please check the sftp service displays an incorrect result when a user searches for statements the expected record appears later in the results regards
2002383,"dears, The logo displayed on the inward workflow service page needs a small visual update. No functionality is affected.",Low,dears the logo displayed on the inward workflow service page needs a small visual update no functionality is affected
2000717,we need your support: The mobile banking application is returning incorrect results for clearing messages in production. The affected workflow cannot be trusted until the issue is investigated. Thanks.,Highest,we need your support the mobile banking application is returning incorrect results for clearing messages in production the affected workflow cannot be trusted until the issue is investigated thanks
2000686,"please assist, A large number of branches failed after the latest processing cycle. The failures affect multiple branches and need to be cleared before normal operations can resume. Kindly check and update.",Highest,please assist a large number of branches failed after the latest processing cycle the failures affect multiple branches and need to be cleared before normal operations can resume kindly check and update
2001006,"kindly investigate, A report in the inward workflow service is failing to generate for the operations team. Other functions remain available, but the affected report is required for daily work.",High,kindly investigate a report in the inward workflow service is failing to generate for the operations team other functions remain available but the affected report is required for daily work
2000742,we need your support: An integration between the AML screening service and the downstream service is failing. transactions are not being transferred correctly and the issue is affecting several teams. Thanks.,Highest,we need your support an integration between the aml screening service and the downstream service is failing transactions are not being transferred correctly and the issue is affecting several teams thanks
2000258,"dears, A failure in the core banking system is preventing the finance team from processing any branches in production. The issue started suddenly and affects the whole operation. Regards.",Blocker,dears a failure in the core banking system is preventing the finance team from processing any branches in production the issue started suddenly and affects the whole operation regards
2002449,we need your support: Please remove an unused option from a dropdown in the AML screening service. Existing processing is not affected. Regards.,Low,we need your support please remove an unused option from a dropdown in the aml screening service existing processing is not affected regards
2001071,"dears, Some reports are being rejected by the core banking system even though similar requests succeed. Please investigate the validation or integration error. Kindly check and update.",High,dears some reports are being rejected by the core banking system even though similar requests succeed please investigate the validation or integration error kindly check and update
2002477,A non-critical tooltip in the internet banking portal is incorrect. Please update the wording in a future release. Thanks.,Low,a non critical tooltip in the internet banking portal is incorrect please update the wording in a future release thanks
2001017,"dears, The outward workflow service is not receiving some customer records from the upstream service. The missing records need to be investigated and reprocessed. Regards.",High,dears the outward workflow service is not receiving some customer records from the upstream service the missing records need to be investigated and reprocessed regards
2000876,"please check, Transactions are being rejected by the inward workflow service for all branches. Affected requests cannot be completed through the normal workflow and business operations are at significant risk. Regards.",Highest,please check transactions are being rejected by the inward workflow service for all branches affected requests cannot be completed through the normal workflow and business operations are at significant risk regards
1005792,"greetings the transaction detail is attached. hi, pls find the ph_technical and ph_technical greetings any update? thanks, ph_user greetings any update ph_technical thanks, greetings any update? greetings any update? greetings pls find as attached. greetings we have implemented the trigger in uat and performed the test case as attached in the document , pls advice if this is fine to implement in production. thanks, ph_user greetings we are planning to implement this week, will update you. greetings in ref to ph_technical, after applying the fix also, we observed the issue today again for one ph_item that skipped the workflow and directly replied from financial clearing. also as seen in transaction log the clearing approval state is showing approved by maker user. so pls help to debug the issue and provide the fix. thanks, ph_user",High,greetings the transaction detail is attached hi pls find the ph_technical and ph_technical greetings any update thanks ph_user greetings any update ph_technical thanks greetings any update greetings any update greetings pls find as attached greetings we have implemented the trigger in uat and performed the test case as attached in the document pls advice if this is fine to implement in production thanks ph_user greetings we are planning to implement this week will update you greetings in ref to ph_technical after applying the fix also we observed the issue today again for one ph_item that skipped the workflow and directly replied from financial clearing also as seen in transaction log the clearing approval state is showing approved by maker user so pls help to debug the issue and provide the fix thanks ph_user
2002075,"please check, Please update the display text for certificates in the SFTP service. There is no functional impact. Thanks.",Low,please check please update the display text for certificates in the sftp service there is no functional impact thanks
2000231,"kindly investigate, The card management system became inaccessible after a service failure. Every attempted approval requests operation fails for the finance team, leaving the business process stopped. Regards.",Blocker,kindly investigate the card management system became inaccessible after a service failure every attempted approval requests operation fails for the finance team leaving the business process stopped regards
2000758,"please check, A large number of certificates failed after the latest processing cycle. The failures affect a small group of users and need to be cleared before normal operations can resume. Thanks.",Highest,please check a large number of certificates failed after the latest processing cycle the failures affect a small group of users and need to be cleared before normal operations can resume thanks
2000723,The mobile banking application has stopped sending payments to the downstream system. New requests remain pending and the operations team needs an urgent resolution. Kindly check and update.,Highest,the mobile banking application has stopped sending payments to the downstream system new requests remain pending and the operations team needs an urgent resolution kindly check and update
2001852,we need your support: The inward workflow service displays an incorrect result when a user searches for approval requests. The expected record appears later in the results. Thanks.,Medium,we need your support the inward workflow service displays an incorrect result when a user searches for approval requests the expected record appears later in the results thanks
2000929,we need your support: The authentication service is processing accounts incorrectly in UAT. Several requests have reached an invalid status and require intervention before they can continue.,Highest,we need your support the authentication service is processing accounts incorrectly in uat several requests have reached an invalid status and require intervention before they can continue
2001471,"kindly investigate, The inward workflow service is showing incorrect status for some business roles. Users can continue other work, but the affected records cannot be completed normally. Attached are the relevant details.",High,kindly investigate the inward workflow service is showing incorrect status for some business roles users can continue other work but the affected records cannot be completed normally attached are the relevant details
2002276,"please assist, A non-critical tooltip in the AML screening service is incorrect. Please update the wording in a future release. Please advise.",Low,please assist a non critical tooltip in the aml screening service is incorrect please update the wording in a future release please advise
2000414,"kindly investigate, The production payment gateway has stopped responding. all users cannot complete customer-facing transactions and the business process is fully blocked. Thanks.",Blocker,kindly investigate the production payment gateway has stopped responding all users cannot complete customer facing transactions and the business process is fully blocked thanks
2002432,"please assist, The date format on one report in the outward workflow service is inconsistent with the other reports. Please correct the presentation. Thanks.",Low,please assist the date format on one report in the outward workflow service is inconsistent with the other reports please correct the presentation thanks
2000473,"greetings, The core banking system is rejecting every request with a queue timeout. The failure affects one branch across the live environment and there is no alternative process available. Attached are the relevant details.",Blocker,greetings the core banking system is rejecting every request with a queue timeout the failure affects one branch across the live environment and there is no alternative process available attached are the relevant details
2000830,A major issue in the core banking system is causing branches to fail for all users in the DR environment. The process is severely disrupted and needs immediate investigation. Regards.,Highest,a major issue in the core banking system is causing branches to fail for all users in the dr environment the process is severely disrupted and needs immediate investigation regards
2000612,The branch application has stopped sending scanned checks to the downstream system. New requests remain pending and the operations team needs an urgent resolution.,Highest,the branch application has stopped sending scanned checks to the downstream system new requests remain pending and the operations team needs an urgent resolution
2001132,we need your support: The approval workflow in the core banking system is not behaving correctly for all branches. The approve action is missing or returns an error for affected records. Regards.,High,we need your support the approval workflow in the core banking system is not behaving correctly for all branches the approve action is missing or returns an error for affected records regards
2001258,"greetings, Some user profiles are being rejected by the card management system even though similar requests succeed. Please investigate the validation or integration error. Please advise.",High,greetings some user profiles are being rejected by the card management system even though similar requests succeed please investigate the validation or integration error please advise
2000111,"we need your support: The authentication service became inaccessible after a service failure. Every attempted clearing messages operation fails for a small group of users, leaving the business process stopped. Please advise.",Blocker,we need your support the authentication service became inaccessible after a service failure every attempted clearing messages operation fails for a small group of users leaving the business process stopped please advise
2000327,we need your support: The inward workflow service is rejecting every request with a database error. The failure affects all branches across the DR environment and there is no alternative process available. Please advise.,Blocker,we need your support the inward workflow service is rejecting every request with a database error the failure affects all branches across the dr environment and there is no alternative process available please advise
2002150,"kindly investigate, Please improve the spacing of fields on the internet banking portal form. The current form works but the layout could be cleaner. Please advise.",Low,kindly investigate please improve the spacing of fields on the internet banking portal form the current form works but the layout could be cleaner please advise
2000597,"please assist, A production issue is preventing the finance team from completing an important approval workflow in the branch application. There is no reliable workaround at the moment. Please advise.",Highest,please assist a production issue is preventing the finance team from completing an important approval workflow in the branch application there is no reliable workaround at the moment please advise
2001087,"kindly investigate, Users in a small group of users are unable to complete business roles in the inward workflow service. A service unavailable error is shown and the issue is affecting normal work. Thanks.",High,kindly investigate users in a small group of users are unable to complete business roles in the inward workflow service a service unavailable error is shown and the issue is affecting normal work thanks
2000912,"greetings, The authentication service has stopped sending payment files to the downstream system. New requests remain pending and the operations team needs an urgent resolution. Regards.",Highest,greetings the authentication service has stopped sending payment files to the downstream system new requests remain pending and the operations team needs an urgent resolution regards
2001902,"please assist, A minor workflow issue is affecting one step of the teller application. Users can complete the process by following an alternative step. Kindly check and update.",Medium,please assist a minor workflow issue is affecting one step of the teller application users can complete the process by following an alternative step kindly check and update
2002030,"greetings, Please improve the spacing of fields on the card management system form. The current form works but the layout could be cleaner. Please advise.",Low,greetings please improve the spacing of fields on the card management system form the current form works but the layout could be cleaner please advise
2002369,"please assist, The logo displayed on the mobile banking application page needs a small visual update. No functionality is affected. Thanks.",Low,please assist the logo displayed on the mobile banking application page needs a small visual update no functionality is affected thanks
1006256,"greetings we cannot receive the files which are mentioned on attached file from ph_name, can please check from your end and update.",Highest,greetings we cannot receive the files which are mentioned on attached file from ph_name can please check from your end and update
2000613,"please assist, Transactions are being rejected by the AML screening service for the finance team. Affected requests cannot be completed through the normal workflow and business operations are at significant risk.",Highest,please assist transactions are being rejected by the aml screening service for the finance team affected requests cannot be completed through the normal workflow and business operations are at significant risk
2000413,"kindly investigate, The central service for transactions is unavailable. Requests from all branches are not reaching the application and operations are halted. Kindly check and update.",Blocker,kindly investigate the central service for transactions is unavailable requests from all branches are not reaching the application and operations are halted kindly check and update
2001979,"please assist, Please investigate why one statements is showing an unexpected status in the clearing module. The issue does not affect other records. Attached are the relevant details.",Medium,please assist please investigate why one statements is showing an unexpected status in the clearing module the issue does not affect other records attached are the relevant details
2000777,"kindly investigate, A major issue in the inward workflow service is causing reports to fail for one user in the branch environment. The process is severely disrupted and needs immediate investigation. Thanks.",Highest,kindly investigate a major issue in the inward workflow service is causing reports to fail for one user in the branch environment the process is severely disrupted and needs immediate investigation thanks
2000700,"kindly investigate, A production issue is preventing one branch from completing an important approval workflow in the reporting portal. There is no reliable workaround at the moment.",Highest,kindly investigate a production issue is preventing one branch from completing an important approval workflow in the reporting portal there is no reliable workaround at the moment
2000427,"please check, The archive module became inaccessible after a service failure. Every attempted batches operation fails for a small group of users, leaving the business process stopped. Attached are the relevant details.",Blocker,please check the archive module became inaccessible after a service failure every attempted batches operation fails for a small group of users leaving the business process stopped attached are the relevant details
2001501,"greetings, The core banking system displays an incorrect result when a user searches for reports. The expected record appears later in the results. Thanks.",Medium,greetings the core banking system displays an incorrect result when a user searches for reports the expected record appears later in the results thanks
2000699,"greetings, The core banking system is returning incorrect results for user profiles in production. The affected workflow cannot be trusted until the issue is investigated. Kindly check and update.",Highest,greetings the core banking system is returning incorrect results for user profiles in production the affected workflow cannot be trusted until the issue is investigated kindly check and update
2000331,"please assist, A failure in the internet banking portal is preventing multiple branches from processing any business roles in the branch environment. The issue started suddenly and affects the whole operation. Attached are the relevant details.",Blocker,please assist a failure in the internet banking portal is preventing multiple branches from processing any business roles in the branch environment the issue started suddenly and affects the whole operation attached are the relevant details
1007574,"perfect thanks, kindly note we are not able to use ph_technical that the system is running slowly, please check, ph_name.",Blocker,perfect thanks kindly note we are not able to use ph_technical that the system is running slowly please check ph_name
2000560,"dears, A major issue in the branch application is causing payment files to fail for one user in the live environment. The process is severely disrupted and needs immediate investigation. Regards.",Highest,dears a major issue in the branch application is causing payment files to fail for one user in the live environment the process is severely disrupted and needs immediate investigation regards
2001929,"kindly investigate, The card management system displays an incorrect result when a user searches for batches. The expected record appears later in the results.",Medium,kindly investigate the card management system displays an incorrect result when a user searches for batches the expected record appears later in the results
2001696,"please assist, A user is unable to open a specific approval requests in the mobile banking application. Other users and functions appear to be working normally.",Medium,please assist a user is unable to open a specific approval requests in the mobile banking application other users and functions appear to be working normally
2002222,"kindly investigate, Please change the order of two fields on the outward workflow service screen to make the page easier to read.",Low,kindly investigate please change the order of two fields on the outward workflow service screen to make the page easier to read
2001893,"dears, The archive module displays an incorrect result when a user searches for reports. The expected record appears later in the results. Please advise.",Medium,dears the archive module displays an incorrect result when a user searches for reports the expected record appears later in the results please advise
2002041,"kindly investigate, A non-critical tooltip in the reporting portal is incorrect. Please update the wording in a future release.",Low,kindly investigate a non critical tooltip in the reporting portal is incorrect please update the wording in a future release
2001367,"please assist, The AML screening service is intermittently failing when processing batches. The issue affects one branch, although some requests continue to work. Thanks.",High,please assist the aml screening service is intermittently failing when processing batches the issue affects one branch although some requests continue to work thanks
1008678,"dears, below the request and response with ph_technical ph_technical ph_technical dears, please find ph_technical sheet for the mentioned ph_item as requested regards greetings ph_technical ph_items data attached. regards greetings please arrange to connect and get all needed data ph_path . regards dears, please find the attached logs regards greetings please find the attached logs. regards greetings please find the attached logs as requested dears, please find the attached logs. regards dears, we have new case with below details, please arrange to connect and check. the attached inward ph_item returned by maker which is directly gone to ph_technical without coming to checker queue, please investigate and advice regards greetings please find the atatched regards dears, yesterday the below ph_item is returned by maker as “closed account” didn’t reach to checker queue, this is very high risk, please investigate and do the rectification at the earliest. regards",High,dears below the request and response with ph_technical ph_technical ph_technical dears please find ph_technical sheet for the mentioned ph_item as requested regards greetings ph_technical ph_items data attached regards greetings please arrange to connect and get all needed data ph_path regards dears please find the attached logs regards greetings please find the attached logs regards greetings please find the attached logs as requested dears please find the attached logs regards dears we have new case with below details please arrange to connect and check the attached inward ph_item returned by maker which is directly gone to ph_technical without coming to checker queue please investigate and advice regards greetings please find the atatched regards dears yesterday the below ph_item is returned by maker as closed account didn t reach to checker queue this is very high risk please investigate and do the rectification at the earliest regards
2000493,"dears, All branches are reporting failures when using the payment gateway. No payment files can be completed and the business is unable to continue normal processing. Kindly check and update.",Blocker,dears all branches are reporting failures when using the payment gateway no payment files can be completed and the business is unable to continue normal processing kindly check and update
2000705,An integration between the clearing module and the downstream service is failing. batches are not being transferred correctly and the issue is affecting several teams. Kindly check and update.,Highest,an integration between the clearing module and the downstream service is failing batches are not being transferred correctly and the issue is affecting several teams kindly check and update
2002245,"dears, A minor formatting issue is visible in the mobile banking application report. The data and processing are correct. Regards.",Low,dears a minor formatting issue is visible in the mobile banking application report the data and processing are correct regards
2002476,"please assist, The archive module contains a spelling mistake in a non-critical label. Please correct it when convenient. Kindly check and update.",Low,please assist the archive module contains a spelling mistake in a non critical label please correct it when convenient kindly check and update
2001322,"greetings, Some accounts are being rejected by the archive module even though similar requests succeed. Please investigate the validation or integration error.",High,greetings some accounts are being rejected by the archive module even though similar requests succeed please investigate the validation or integration error
2001892,"greetings, Please check the attached example where the authentication service shows an unexpected value for accounts. There is currently a workaround.",Medium,greetings please check the attached example where the authentication service shows an unexpected value for accounts there is currently a workaround
2000837,An integration between the branch application and the downstream service is failing. user profiles are not being transferred correctly and the issue is affecting several teams. Kindly check and update.,Highest,an integration between the branch application and the downstream service is failing user profiles are not being transferred correctly and the issue is affecting several teams kindly check and update
2001484,"please check, Several transactions remain stuck in the core banking system after processing. Please investigate the workflow and advise how to recover the affected records. Thanks.",High,please check several transactions remain stuck in the core banking system after processing please investigate the workflow and advise how to recover the affected records thanks
2000477,"greetings, All transactions processing has stopped in production. Requests are failing across multiple branches and there is currently no usable workaround. Please advise.",Blocker,greetings all transactions processing has stopped in production requests are failing across multiple branches and there is currently no usable workaround please advise
2001485,"The archive module is intermittently failing when processing clearing messages. The issue affects the customer service team, although some requests continue to work. Attached are the relevant details.",High,the archive module is intermittently failing when processing clearing messages the issue affects the customer service team although some requests continue to work attached are the relevant details
2001769,"please assist, One branch reported that a specific transactions is not appearing correctly in the mobile banking application. Other branches have not reported the same issue. Thanks.",Medium,please assist one branch reported that a specific transactions is not appearing correctly in the mobile banking application other branches have not reported the same issue thanks
1005313,"kindly note the customers couldn't deactivated their devices from app in both os, the confirm button doesn't respond as shown,",High,kindly note the customers couldn t deactivated their devices from app in both os the confirm button doesn t respond as shown
2000704,"dears, An integration between the archive module and the downstream service is failing. transactions are not being transferred correctly and the issue is affecting several teams. Attached are the relevant details.",Highest,dears an integration between the archive module and the downstream service is failing transactions are not being transferred correctly and the issue is affecting several teams attached are the relevant details
2001896,"please assist, A report in the teller application takes longer than expected to load for some users. Normal processing can continue while this is investigated. Regards.",Medium,please assist a report in the teller application takes longer than expected to load for some users normal processing can continue while this is investigated regards
2001941,The card management system displays an incorrect result when a user searches for user profiles. The expected record appears later in the results. Attached are the relevant details.,Medium,the card management system displays an incorrect result when a user searches for user profiles the expected record appears later in the results attached are the relevant details
2001718,Please check the attached example where the internet banking portal shows an unexpected value for customer records. There is currently a workaround. Attached are the relevant details.,Medium,please check the attached example where the internet banking portal shows an unexpected value for customer records there is currently a workaround attached are the relevant details
2002370,"kindly investigate, Please change the order of two fields on the mobile banking application screen to make the page easier to read. Attached are the relevant details.",Low,kindly investigate please change the order of two fields on the mobile banking application screen to make the page easier to read attached are the relevant details
2000398,"kindly investigate, The production AML screening service has stopped responding. the finance team cannot complete customer-facing transactions and the business process is fully blocked. Thanks.",Blocker,kindly investigate the production aml screening service has stopped responding the finance team cannot complete customer facing transactions and the business process is fully blocked thanks
1009637,"the ph_technical ph_items always fails to be sent due to ph_technical error when the user couple and match them in ph_technical back office, when the ph_items go to resend queue, click on resend, the ph_item will then go to  ph_user . this needs to be checked and solved please. pls. see the snapshots attached.",Medium,the ph_technical ph_items always fails to be sent due to ph_technical error when the user couple and match them in ph_technical back office when the ph_items go to resend queue click on resend the ph_item will then go to ph_user this needs to be checked and solved please pls see the snapshots attached
1005756,"greetings thanks for replay, i will check what you mentioned with the team regards greetings regarding the password hint does not have any meaning in both languages i found it in the  ph_user   ph_user only عربي should be change to العربية need to be changed from your side regards greetings 1- we don't received any release in the test flight for ios. 2- checked with current version for both test and production app and nothing changed. still عربي regards password hint does not have any meaning in both languages arabic: arabic value english: english value عربي should be change to العربية",High,greetings thanks for replay i will check what you mentioned with the team regards greetings regarding the password hint does not have any meaning in both languages i found it in the ph_user ph_user only عربي should be change to العربية need to be changed from your side regards greetings 1 we don t received any release in the test flight for ios 2 checked with current version for both test and production app and nothing changed still عربي regards password hint does not have any meaning in both languages arabic arabic value english english value عربي should be change to العربية
2000216,"dears, All branches are reporting failures when using the teller application. No scanned checks can be completed and the business is unable to continue normal processing. Thanks.",Blocker,dears all branches are reporting failures when using the teller application no scanned checks can be completed and the business is unable to continue normal processing thanks
2002159,"kindly investigate, The archive module contains a spelling mistake in a non-critical label. Please correct it when convenient. Thanks.",Low,kindly investigate the archive module contains a spelling mistake in a non critical label please correct it when convenient thanks
1007438,"go ahead this transaction ph_technical, ph_technical jul 4 15:54:57 had duplicated in one second to ph_technical, 2022 jul 4 15:54:58, we need to know how its duplicated, that the customer only run out one transaction ph_name",Highest,go ahead this transaction ph_technical ph_technical jul 4 15 54 57 had duplicated in one second to ph_technical 2022 jul 4 15 54 58 we need to know how its duplicated that the customer only run out one transaction ph_name
2000191,"please assist, The internet banking portal is completely unavailable in the live environment; all users cannot access it and normal business processing has stopped. Please advise.",Blocker,please assist the internet banking portal is completely unavailable in the live environment all users cannot access it and normal business processing has stopped please advise
2001243,"kindly investigate, The inward workflow service is intermittently failing when processing branches. The issue affects multiple branches, although some requests continue to work. Attached are the relevant details.",High,kindly investigate the inward workflow service is intermittently failing when processing branches the issue affects multiple branches although some requests continue to work attached are the relevant details
2000793,"please assist, The SFTP service is returning incorrect results for payment files in production. The affected workflow cannot be trusted until the issue is investigated. Kindly check and update.",Highest,please assist the sftp service is returning incorrect results for payment files in production the affected workflow cannot be trusted until the issue is investigated kindly check and update
2000931,"dears, The internet banking portal has stopped sending statements to the downstream system. New requests remain pending and the operations team needs an urgent resolution. Thanks.",Highest,dears the internet banking portal has stopped sending statements to the downstream system new requests remain pending and the operations team needs an urgent resolution thanks
2002177,"please assist, The SFTP service contains a spelling mistake in a non-critical label. Please correct it when convenient.",Low,please assist the sftp service contains a spelling mistake in a non critical label please correct it when convenient
1006015,"from mail: ph_user   ph_user  ph_code fri 4 11:17 am greetings please note that the users are not able to see the ph_item image as shown in the below screenshot. i have checked with our internal staffs also and they have confirmed the images are not being displayed. kindly treat this as urgent . thanks and regards, ph_technicals.  ph_user   ph_user  ph_info_table p.o box ph_technical, ph_name, ph_name, ph_name tel: ph_technical ph_technical ext 2132 ph_info_table website: ph_url",Medium,from mail ph_user ph_user ph_code fri 4 11 17 am greetings please note that the users are not able to see the ph_item image as shown in the below screenshot i have checked with our internal staffs also and they have confirmed the images are not being displayed kindly treat this as urgent thanks and regards ph_technicals ph_user ph_user ph_info_table p o box ph_technical ph_name ph_name ph_name tel ph_technical ph_technical ext 2132 ph_info_table website ph_url
2001699,"dears, The outward workflow service displays an incorrect result when a user searches for clearing messages. The expected record appears later in the results. Please advise.",Medium,dears the outward workflow service displays an incorrect result when a user searches for clearing messages the expected record appears later in the results please advise
2000703,we need your support: An integration between the clearing module and the downstream service is failing. transactions are not being transferred correctly and the issue is affecting several teams. Attached are the relevant details.,Highest,we need your support an integration between the clearing module and the downstream service is failing transactions are not being transferred correctly and the issue is affecting several teams attached are the relevant details
2001981,"greetings, A user receives a service unavailable error while performing a specific action in the authentication service. The rest of the application is available. Regards.",Medium,greetings a user receives a service unavailable error while performing a specific action in the authentication service the rest of the application is available regards
2001837,"greetings, The core banking system displays an incorrect result when a user searches for payments. The expected record appears later in the results.",Medium,greetings the core banking system displays an incorrect result when a user searches for payments the expected record appears later in the results
1005514,ph_sql ph_sql,Medium,ph_sql ph_sql
2002112,"please assist, Please remove an unused option from a dropdown in the clearing module. Existing processing is not affected. Please advise.",Low,please assist please remove an unused option from a dropdown in the clearing module existing processing is not affected please advise
2001956,"please check, The inward workflow service is not displaying a field correctly for a small group of users. Please check the configuration and advise.",Medium,please check the inward workflow service is not displaying a field correctly for a small group of users please check the configuration and advise
2000608,Multiple branches are stuck in mobile banking application with a processing error. The affected team cannot complete the normal workflow and the backlog is growing. Kindly check and update.,Highest,multiple branches are stuck in mobile banking application with a processing error the affected team cannot complete the normal workflow and the backlog is growing kindly check and update
2001489,"greetings, Users in all branches are unable to complete approval requests in the clearing module. A internal server error is shown and the issue is affecting normal work.",High,greetings users in all branches are unable to complete approval requests in the clearing module a internal server error is shown and the issue is affecting normal work
2002414,"kindly investigate, The logo displayed on the mobile banking application page needs a small visual update. No functionality is affected. Attached are the relevant details.",Low,kindly investigate the logo displayed on the mobile banking application page needs a small visual update no functionality is affected attached are the relevant details
1007932,"greetings thank you for the session yesterday. below has been shared with server support team yesterday who will raise the certificates. kindly keep the ticket open if possible, and once certificate is ready, will update the production  ph_user  be with your support and close the ticket. greetings certificate is ready and we require your support to deploy it to production preferably today at 3.30pm or sunday 3.30pm greetings no it is not done. we need your support for production deployment of new certificates today at 3.30 pm. pls. use the below link. ph_link greetings so far everything is fine with ph_technical prod. application. thank you for your support for production deployment yesterday.. by today end of the day, you  ph_user  please close the ticket if we don't come back. greetings attached the conversation email. kindly check and support. expired certificate in ph_technical application server",High,greetings thank you for the session yesterday below has been shared with server support team yesterday who will raise the certificates kindly keep the ticket open if possible and once certificate is ready will update the production ph_user be with your support and close the ticket greetings certificate is ready and we require your support to deploy it to production preferably today at 3 30pm or sunday 3 30pm greetings no it is not done we need your support for production deployment of new certificates today at 3 30 pm pls use the below link ph_link greetings so far everything is fine with ph_technical prod application thank you for your support for production deployment yesterday by today end of the day you ph_user please close the ticket if we don t come back greetings attached the conversation email kindly check and support expired certificate in ph_technical application server
